start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2015,2,26,9,2015,3,7,8,103.2,5.58,18.49,1.04,0.046,0.363,0.189,4.856,0.184,1.916,0.305,0.031,91.5,85.1,2.9,94.6,26.9
2015,3,7,9,2015,3,16,8,78.7,5.29,14.87,0.92,0.085,0.44,0.082,1.872,0.102,0.468,0.229,0.015,69.8,84.7,2.7,217.6,118.9
2015,3,17,9,2015,3,26,8,139.33,5.18,26.88,1.07,0,0.301,0.144,4.469,0.1,1.602,0.513,0.021,73.1,91.1,2.5,248.7,43.2
2015,3,26,9,2015,4,4,8,128.3,5.22,24.58,2.89,0,0.116,0.245,5.572,0.12,2.151,0.497,0.022,73.2,106,3.3,153.9,39.5
2015,4,4,9,2015,4,13,8,144.13,5.26,27.42,0.98,0,0.478,0.081,5.104,0.15,1.921,0.553,0.019,131.5,79.1,2.2,142.7,40.7
2015,4,22,9,2015,5,1,8,75,5.22,14.37,0.8,0.01,0.412,0.157,1.036,0.098,0.232,0.31,0.015,14.5,16.7,0.6,24.3,4.2
2015,5,1,9,2015,5,10,8,130.17,5.11,25.46,3.03,0,0.124,0.343,3.109,0.114,0.998,0.464,0.03,136,132.1,3.8,124.2,37
2015,5,10,9,2015,5,19,8,167.1,5.29,31.58,3.05,0,0,0.322,4.88,0.159,1.879,0.67,0.022,100.9,76.2,2.8,124.9,57.3
2015,5,30,9,2015,6,8,8,147.73,4.78,30.9,3.44,0,0.093,0,5.831,0.185,2.245,0.594,0.037,74.6,94.4,3.2,110.8,25.4
2015,7,14,9,2015,7,23,8,161.5,5.17,31.23,3.69,0,0.447,0,4.064,0.259,0.744,0.738,0.05,113.1,99.6,4,117.7,21.2
2015,7,28,9,2015,8,6,8,150.43,4.99,30.16,1.03,0,0.468,0,5.153,0.235,0.708,0.702,0.029,105.1,116,4.2,84.6,25.4
2015,8,26,9,2015,9,4,8,135.57,4.34,31.26,2.99,0,0.202,0,4.856,0.258,0.856,0.849,0.035,126,119.3,4.5,66.5,21.1
2015,9,4,9,2015,9,13,8,130.3,4.29,30.34,1.07,0,0.406,0.417,4.386,0.304,1.046,1.039,0.037,148.9,142.9,5.5,96.1,35.1
2015,10,20,9,2015,10,29,8,141.37,4.38,32.31,2.1,0,0.424,0,4.241,0.301,1.13,0.706,0.075,136.1,125.9,5.5,153.1,94.5
2016,1,20,9,2016,1,29,8,141.9,5.31,26.71,0,0.003,0.427,0.284,5.124,0.187,1.677,0.47,0.044,53.4,97.4,2.7,117,44.4
2016,1,29,9,2016,2,7,8,107.3,5.54,19.37,0,0,0.47,0.158,3.666,0.132,1.042,0.305,0.036,83.3,74.1,2.4,73.1,34.1
